"Timestamp","Job","Status","Mode","Inputs","PrepElapsedSec","MergeElapsedSec","FinalElapsedSec","TotalElapsedSec","OutputPath","Notes"
"2026-02-11 20:01:11","Copyright Pick MP4s","Success","fast stable","6","138.19","0.56","0.02","138.77","C:\Users\User\Downloads\DJDownloads\MP4 - Copy\First60_Merged_01.mp4","Output 1280x720; encoder=h264_qsv"
"2026-02-11 20:10:24","Copyright Pick MP4s","Success","fast stable","6","10.53","0.4","0.04","10.96","C:\Users\User\Downloads\DJDownloads\MP4 - Copy\First60_Merged_02.mp4","Output 854x480; encoder=h264_qsv"
"2026-02-11 20:14:31","Copyright Pick MP4s","Failed","fast stable","5","97.74","0","0","97.74","","Exception calling ""Parse"" with ""2"" argument(s): ""The input string '' was not in a correct format."""
"2026-02-11 20:14:44","Copyright Pick MP4s","Success","fast stable","5","8.41","3.01","0.04","11.46","C:\Users\User\Downloads\DJDownloads\MP4 - Copy\First60_Merged_03.mp4","Output 854x480; encoder=h264_qsv"
"2026-02-11 20:17:57","Copyright Pick MP4s","Success","fast stable","6","99.26","62.2","0.03","161.49","C:\Users\User\Downloads\DJDownloads\MP4 - Copy\First60_Merged_04.mp4","Output 854x480; encoder=h264_qsv"
"2026-02-11 20:27:03","Copyright Pick MP4s","Success","fast stable","6","148.4","172.26","0.07","320.73","C:\Users\User\Downloads\DJDownloads\MP4 - Copy\First60_Merged_05.mp4","Output 1920x1080; encoder=h264_qsv"
"2026-02-11 20:29:47","Copyright Pick MP4s","Success","encode 720p","7","13.28","4.31","0.02","17.61","C:\Users\User\Downloads\DJDownloads\MP4 - Copy\First60_Merged_01.mp4","Output 1280x720; encoder=h264_qsv"
"2026-02-11 20:34:40","Copyright Pick MP4s","Success","fast stable","5","11.6","5","0.03","16.63","C:\Users\User\Downloads\DJDownloads\MP4 - Copy\First60_Merged_01.mp4","Output 1080x1080; encoder=h264_qsv"
"2026-02-11 20:37:33","Copyright Pick MP4s","Success","encode 720p","5","103.13","34.85","0.04","138.03","C:\Users\User\Downloads\DJDownloads\MP4 - Copy\First60_Merged_02.mp4","Output 1280x720; encoder=h264_qsv"
"2026-02-11 20:43:33","Copyright Pick MP4s","Success","encode 720p","5","298.22","2.14","0.02","300.39","C:\Users\User\Downloads\DJDownloads\MP4 - Copy\First60_Merged_03.mp4","Output 1280x720; encoder=h264_qsv"
"2026-02-11 20:47:44","Copyright Pick MP4s","Success","fast stable","7","123.12","80.23","0.02","203.38","C:\Users\User\Downloads\DJDownloads\MP4 - Copy\First60_Merged_04.mp4","Output 1080x1080; encoder=h264_qsv"
"2026-02-11 20:52:00","Copyright Pick MP4s","Success","encode 720p","5","117.41","83.23","0.05","200.7","C:\Users\User\Downloads\DJDownloads\MP4 - Copy\First60_Merged_05.mp4","Output 1280x720; encoder=h264_qsv"
